Locality	Sample	probability	type
Oslo_Brann_8	COD407	NA	Lofoten.Coastal
Oslo_Mindets_tomt	COD082	0.190874961167953	North.Sea
Oslo_Mindets_tomt	COD086	0.660093341584685	North.Sea
Oslo_Mindets_tomt	COD092	0	North.Sea
Oslo_Mindets_tomt	COD084	0.480248352730509	North.Sea
Oslo_Mindets_tomt	COD089	0	North.Sea
Oslo_Mindets_tomt	COD091	0	North.Sea
Oslo_Brann_1	COD332	0.231895146788754	North.Sea
Oslo_Brann_1	COD333	0	North.Sea
Oslo_Brann_1	COD334	0.660093341584685	North.Sea
Oslo_Brann_1	COD335	0	North.Sea
Oslo_Brann_1	COD336	0	North.Sea
Oslo_Brann_1	COD338	0	North.Sea
Oslo_Brann_1	COD339	0.480248352730509	North.Sea
Oslo_Brann_1	COD341	0	North.Sea
Oslo_Brann_1	COD342	0	North.Sea
Oslo_Brann_2	COD343	0.728706405423829	North.Sea
Oslo_Brann_2	COD348	0.178414444487729	North.Sea
Oslo_Brann_2	COD356	0.480248352730509	North.Sea
Oslo_Brann_2	COD358	0	North.Sea
Oslo_Brann_2	COD365	0	North.Sea
Oslo_Brann_2	COD367	0.537439893245456	North.Sea
Oslo_Brann_3	COD372	0	North.Sea
Oslo_Brann_3	COD377	0.537439893245456	North.Sea
Oslo_Brann_3	COD379	0	North.Sea
Oslo_Brann_3	COD383	0.660093341584685	North.Sea
Oslo_Brann_3	COD389	0.660093341584685	North.Sea
Oslo_Brann_3	COD391	0	North.Sea
Oslo_Brann_3	COD394	0	North.Sea
Oslo_Brann_3	COD395	0	North.Sea
Oslo_Brann_4	COD396	NA	North.Sea
Oslo_Brann_4	COD398	0.480248352730509	North.Sea
Oslo_Brann_4	COD405	0.480248352730509	North.Sea
Oslo_Brann_4	COD420	0.480248352730509	North.Sea
Oslo_Brann_4	COD421	0	North.Sea
Oslo_Brann_4	COD422	NA	North.Sea
Oslo_Brann_4	COD423	NA	North.Sea
Oslo_Brann_4	COD427	NA	North.Sea
Oslo_Brann_5	COD408	0	North.Sea
Oslo_Brann_5	COD410	NA	North.Sea
Oslo_Brann_5	COD412	NA	North.Sea
Oslo_Brann_5	COD413	0	North.Sea
Oslo_Brann_5	COD415	0.0252967089836741	North.Sea
Oslo_Brann_6	COD411	0.660093341584685	North.Sea
Oslo_Brann_6	COD414	0.660093341584685	North.Sea
Oslo_Brann_7	COD409	0.537439893245456	North.Sea
Oslo_Brann_7	COD416	NA	North.Sea
Oslo_Brann_7	COD417	NA	North.Sea
Oslo_Brann_7	COD418	NA	North.Sea
Oslo_Brann_8	COD406	NA	North.Sea
Oslo_Brann_8	COD407	NA	North.Sea
Oslo_Mindets_tomt	COD082	0.249491384436416	Oresund
Oslo_Mindets_tomt	COD086	0.284572137348637	Oresund
Oslo_Mindets_tomt	COD092	0	Oresund
Oslo_Mindets_tomt	COD084	0.0373882719561032	Oresund
Oslo_Mindets_tomt	COD089	0	Oresund
Oslo_Mindets_tomt	COD091	0	Oresund
Oslo_Brann_1	COD332	0.762944742551901	Oresund
Oslo_Brann_1	COD333	0	Oresund
Oslo_Brann_1	COD334	0.284572137348637	Oresund
Oslo_Brann_1	COD335	0	Oresund
Oslo_Brann_1	COD336	0	Oresund
Oslo_Brann_1	COD338	0	Oresund
Oslo_Brann_1	COD339	0.0373882719561032	Oresund
Oslo_Brann_1	COD341	0	Oresund
Oslo_Brann_1	COD342	0	Oresund
Oslo_Brann_2	COD343	0.0411647241519961	Oresund
Oslo_Brann_2	COD348	0.808962376502368	Oresund
Oslo_Brann_2	COD356	0.0373882719561032	Oresund
Oslo_Brann_2	COD358	0	Oresund
Oslo_Brann_2	COD365	0	Oresund
Oslo_Brann_2	COD367	0.31931094908868	Oresund
Oslo_Brann_3	COD372	0	Oresund
Oslo_Brann_3	COD377	0.31931094908868	Oresund
Oslo_Brann_3	COD379	0	Oresund
Oslo_Brann_3	COD383	0.284572137348637	Oresund
Oslo_Brann_3	COD389	0.284572137348637	Oresund
Oslo_Brann_3	COD391	0	Oresund
Oslo_Brann_3	COD394	0	Oresund
Oslo_Brann_3	COD395	0	Oresund
Oslo_Brann_4	COD396	NA	Oresund
Oslo_Brann_4	COD398	0.0373882719561032	Oresund
Oslo_Brann_4	COD405	0.0373882719561032	Oresund
Oslo_Brann_4	COD420	0.0373882719561032	Oresund
Oslo_Brann_4	COD421	0	Oresund
Oslo_Brann_4	COD422	NA	Oresund
Oslo_Brann_4	COD423	NA	Oresund
Oslo_Brann_4	COD427	NA	Oresund
Oslo_Brann_5	COD408	0	Oresund
Oslo_Brann_5	COD410	NA	Oresund
Oslo_Brann_5	COD412	NA	Oresund
Oslo_Brann_5	COD413	0	Oresund
Oslo_Brann_5	COD415	0.00691643036379973	Oresund
Oslo_Brann_6	COD411	0.284572137348637	Oresund
Oslo_Brann_6	COD414	0.284572137348637	Oresund
Oslo_Brann_7	COD409	0.31931094908868	Oresund
Oslo_Brann_7	COD416	NA	Oresund
Oslo_Brann_7	COD417	NA	Oresund
Oslo_Brann_7	COD418	NA	Oresund
Oslo_Brann_8	COD406	NA	Oresund
Oslo_Brann_8	COD407	NA	Oresund
